id_registro,id_maquina,planta,tipo_maquina,turno,temperatura_c,vibracion_mm_s,presion_bar,horas_operacion,antiguedad_anios,dias_desde_mantenimiento,produccion_unidades,tasa_defectos_pct,consumo_energia_kwh,falla_maquina,planta_cod,tipo_maquina_cod,turno_cod,cluster,cluster_nombre,probabilidad_falla,prediccion_falla
MAN-0023,MQ-088,Lima,Compresor,Noche,79.0,2.59,7.64,7520,4.7,30,1013,3.09,522.46,0,1,0,1,1,Alerta,0.23914717187962747,0
MAN-0024,MQ-133,Trujillo,Torno CNC,Tarde,79.1,4.12,6.78,3377,2.9,220,1008,4.23,520.02,1,2,4,2,3,Críticas,0.7996156164897145,1
MAN-0025,MQ-008,Lima,Inyectora,Tarde,72.0,2.65,7.71,6163,7.1,161,724,0.1,664.01,0,1,2,2,2,Estándar,0.5832242300955259,1
MAN-0026,MQ-115,Trujillo,Torno CNC,Tarde,69.3,7.33,7.51,10702,7.2,171,407,5.2,493.59,1,2,4,2,1,Alerta,0.8751607029118046,1
MAN-0027,MQ-160,Lima,Prensa,Tarde,86.5,5.76,8.25,3079,2.5,148,915,3.47,548.51,1,1,3,2,3,Críticas,0.8994610285707583,1
MAN-0028,MQ-114,Lima,Compresor,Tarde,81.5,6.4,6.77,5029,3.6,232,759,1.76,583.36,0,1,0,2,3,Críticas,0.9480655180043593,1
MAN-0029,MQ-116,Trujillo,Compresor,Mañana,57.4,2.95,6.96,6789,3.7,217,747,3.38,568.13,0,2,0,0,0,Eficientes,0.2626159783749893,0
MAN-0030,MQ-114,Lima,Torno CNC,Mañana,66.8,4.28,6.59,11277,9.2,80,866,4.89,445.36,1,1,4,0,2,Estándar,0.26024795975858517,0
MAN-0031,MQ-178,Trujillo,Compresor,Tarde,68.0,6.62,7.17,9949,8.6,73,848,1.71,716.74,0,2,0,2,1,Alerta,0.6878737817581196,1
MAN-0032,MQ-044,Trujillo,Empacadora,Tarde,73.6,4.5,6.73,11241,8.8,106,481,4.5,730.13,0,2,1,2,1,Alerta,0.617946290259703,1
MAN-0033,MQ-128,Arequipa,Prensa,Tarde,76.7,3.52,7.12,8132,5.8,181,976,2.33,653.13,1,0,3,2,2,Estándar,0.6996575206738544,1
MAN-0034,MQ-102,Arequipa,Prensa,Tarde,85.7,3.65,5.93,1021,4.3,167,1028,6.23,705.36,1,0,3,2,3,Críticas,0.7874250392403288,1
MAN-0035,MQ-141,Trujillo,Inyectora,Tarde,84.1,6.59,6.01,1141,0.8,166,1228,3.32,813.44,0,2,2,2,3,Críticas,0.8713250871945382,1
MAN-0036,MQ-147,Lima,Compresor,Tarde,96.8,5.66,6.04,5152,4.6,69,836,6.9,680.57,0,1,0,2,3,Críticas,0.8696382661313916,1
MAN-0037,MQ-037,Lima,Inyectora,Tarde,66.6,5.49,6.63,5711,3.1,166,952,4.51,509.56,1,1,2,2,3,Críticas,0.63005971424932,1
MAN-0038,MQ-033,Lima,Prensa,Noche,67.9,3.78,8.0,5376,3.1,166,528,3.32,730.11,1,1,3,1,3,Críticas,0.4591028859597127,0
MAN-0039,MQ-023,Trujillo,Prensa,Tarde,85.2,2.45,7.02,3157,3.3,109,586,4.49,557.24,0,2,3,2,0,Eficientes,0.5143256658374441,1
MAN-0040,MQ-057,Arequipa,Torno CNC,Mañana,72.2,2.37,5.25,10648,8.9,3,733,6.24,678.83,0,0,4,0,1,Alerta,0.06706919994619154,0
MAN-0041,MQ-001,Trujillo,Prensa,Mañana,69.9,4.69,9.13,5205,4.8,68,589,5.38,496.76,1,2,3,0,0,Eficientes,0.387229040320788,0
MAN-0042,MQ-022,Arequipa,Prensa,Mañana,66.5,6.14,6.97,4060,5.0,91,689,1.78,542.49,0,0,3,0,2,Estándar,0.43828929943985656,0
MAN-0043,MQ-145,Trujillo,Compresor,Mañana,61.9,1.89,7.02,6436,1.9,72,834,1.67,571.69,0,2,0,0,0,Eficientes,0.04661476003269296,0
MAN-0044,MQ-049,Lima,Torno CNC,Mañana,73.2,7.45,6.55,6677,3.1,211,876,3.07,553.06,1,1,4,0,3,Críticas,0.8234322860502507,1
MAN-0045,MQ-064,Lima,Prensa,Mañana,73.3,7.66,7.34,5813,2.7,71,850,2.91,538.13,1,1,3,0,3,Críticas,0.5808823970415732,1
MAN-0046,MQ-128,Trujillo,Empacadora,Mañana,64.5,6.45,6.75,8656,4.9,143,998,0.25,560.05,0,2,1,0,2,Estándar,0.5144905787675244,1
MAN-0047,MQ-003,Arequipa,Compresor,Tarde,74.0,5.87,6.88,8581,6.6,29,784,3.3,472.84,0,0,0,2,1,Alerta,0.5602572152638057,1
MAN-0048,MQ-038,Arequipa,Compresor,Tarde,80.1,1.9,4.63,917,0.6,206,1052,2.28,491.41,0,0,0,2,0,Eficientes,0.4827214555953098,0
MAN-0049,MQ-097,Lima,Empacadora,Mañana,57.8,5.02,7.41,6804,6.6,203,503,2.53,811.75,0,1,1,0,2,Estándar,0.540027838552598,1
MAN-0050,MQ-146,Arequipa,Compresor,Mañana,79.0,3.32,9.12,3001,5.5,189,1221,1.81,406.94,1,0,0,0,0,Eficientes,0.7915627614640245,1
MAN-0051,MQ-163,Trujillo,Inyectora,Mañana,68.5,2.41,5.44,5091,4.0,166,675,0.41,323.83,1,2,2,0,0,Eficientes,0.19448858511497544,0
MAN-0052,MQ-077,Arequipa,Compresor,Noche,58.7,0.83,4.9,6070,3.3,196,1063,4.09,356.77,0,0,0,1,2,Estándar,0.09964330861736027,0
MAN-0053,MQ-172,Trujillo,Empacadora,Mañana,84.7,6.15,7.64,5323,1.7,143,512,3.86,661.27,1,2,1,0,3,Críticas,0.7903390541994499,1
MAN-0054,MQ-082,Lima,Torno CNC,Mañana,69.6,5.08,7.01,7235,3.9,196,689,3.51,687.53,1,1,4,0,3,Críticas,0.5717238787950014,1
MAN-0055,MQ-066,Trujillo,Empacadora,Noche,79.4,1.57,5.91,8889,7.3,122,816,2.59,479.11,1,2,1,1,2,Estándar,0.3188672207882742,0
MAN-0056,MQ-027,Lima,Prensa,Mañana,71.1,0.5,4.86,9352,5.4,151,985,1.8,299.42,0,1,3,0,2,Estándar,0.08425585751176762,0
MAN-0057,MQ-032,Trujillo,Torno CNC,Noche,76.3,3.47,7.26,10922,6.9,112,765,3.91,389.72,0,2,4,1,2,Estándar,0.432637275231423,0
MAN-0058,MQ-134,Arequipa,Inyectora,Mañana,64.4,4.35,6.56,9534,7.5,26,589,2.71,631.25,0,0,2,0,2,Estándar,0.13735841980904992,0
MAN-0059,MQ-108,Arequipa,Prensa,Tarde,67.2,6.01,7.37,7435,5.1,85,764,3.65,570.34,0,0,3,2,2,Estándar,0.5531961898782575,1
MAN-0060,MQ-069,Trujillo,Inyectora,Mañana,75.0,2.13,8.21,3614,4.5,125,535,1.14,750.45,0,2,2,0,0,Eficientes,0.31385626791635435,0
MAN-0061,MQ-077,Trujillo,Prensa,Tarde,79.8,5.42,7.58,5356,1.1,41,888,0.59,640.75,0,2,3,2,0,Eficientes,0.4598281964188099,0
MAN-0062,MQ-039,Arequipa,Prensa,Noche,72.9,5.31,5.96,4542,1.0,168,961,6.13,667.92,1,0,3,1,3,Críticas,0.5547482520044672,1
MAN-0063,MQ-061,Lima,Empacadora,Tarde,75.4,4.27,6.6,3088,4.7,70,761,1.7,460.87,0,1,1,2,0,Eficientes,0.48466716872239035,0
MAN-0064,MQ-023,Trujillo,Torno CNC,Mañana,67.2,5.02,7.3,2499,1.1,160,683,1.79,551.45,0,2,4,0,0,Eficientes,0.3949263211672373,0
MAN-0065,MQ-058,Lima,Empacadora,Noche,83.5,4.14,8.04,5817,6.6,194,796,4.97,651.31,1,1,1,1,1,Alerta,0.8839181289013973,1
MAN-0066,MQ-116,Lima,Inyectora,Mañana,69.3,6.19,7.49,11544,7.9,35,791,2.79,719.55,0,1,2,0,1,Alerta,0.3838081504331263,0
MAN-0067,MQ-024,Lima,Prensa,Tarde,59.9,5.33,6.82,10773,8.4,78,922,2.87,452.99,0,1,3,2,2,Estándar,0.3694005069689221,0
MAN-0068,MQ-111,Lima,Empacadora,Noche,68.3,6.28,6.11,5960,5.2,80,883,4.05,599.22,0,1,1,1,1,Alerta,0.48952015029989604,0
MAN-0069,MQ-076,Trujillo,Torno CNC,Tarde,54.9,3.93,4.66,7653,3.1,106,994,1.99,598.23,0,2,4,2,0,Eficientes,0.08425089493958715,0
MAN-0070,MQ-092,Trujillo,Empacadora,Tarde,72.9,6.68,6.77,2599,2.4,90,739,6.18,628.89,1,2,1,2,3,Críticas,0.6866954842780378,1
MAN-0071,MQ-132,Arequipa,Inyectora,Noche,71.5,2.35,7.18,9020,8.1,75,714,1.13,536.82,0,0,2,1,2,Estándar,0.24421028387098753,0
MAN-0072,MQ-029,Trujillo,Empacadora,Mañana,63.2,7.52,6.46,11971,7.6,201,1072,3.58,472.75,1,2,1,0,1,Alerta,0.7807874847113118,1
MAN-0073,MQ-135,Trujillo,Empacadora,Mañana,55.5,3.88,7.0,7609,4.8,58,639,1.23,708.13,0,2,1,0,0,Eficientes,0.07474291415023736,0
MAN-0074,MQ-020,Lima,Prensa,Noche,64.0,1.59,5.75,410,3.5,93,1077,3.77,357.92,0,1,3,1,0,Eficientes,0.08708406569411431,0
MAN-0075,MQ-074,Trujillo,Prensa,Mañana,61.0,6.65,5.46,11556,5.2,74,317,2.75,623.36,0,2,3,0,1,Alerta,0.20386691014231378,0
MAN-0076,MQ-018,Trujillo,Torno CNC,Mañana,75.5,4.26,8.4,5439,4.5,219,1347,3.94,621.76,0,2,4,0,3,Críticas,0.7485418809803859,1
MAN-0077,MQ-075,Lima,Compresor,Noche,69.2,5.72,6.14,358,2.0,76,861,3.62,546.7,0,1,0,1,0,Eficientes,0.41202177326095735,0
MAN-0078,MQ-145,Trujillo,Inyectora,Tarde,68.6,7.0,7.29,6365,4.5,218,867,4.17,600.45,1,2,2,2,3,Críticas,0.8969319442494389,1
MAN-0079,MQ-160,Arequipa,Torno CNC,Mañana,54.2,4.46,7.18,8093,4.1,87,782,1.97,646.18,0,0,4,0,2,Estándar,0.09734402811938328,0
MAN-0080,MQ-004,Lima,Compresor,Mañana,84.9,2.26,7.69,9842,5.7,117,1029,1.85,740.22,1,1,0,0,1,Alerta,0.4446477664141564,0
MAN-0081,MQ-076,Arequipa,Torno CNC,Mañana,63.7,6.31,8.35,300,0.2,7,766,4.74,611.79,0,0,4,0,3,Críticas,0.1861604091325253,0
MAN-0082,MQ-092,Trujillo,Prensa,Tarde,65.7,5.04,4.29,2780,3.7,45,676,1.9,615.25,0,2,3,2,0,Eficientes,0.17902059802918657,0
MAN-0083,MQ-118,Arequipa,Compresor,Noche,72.1,3.2,8.31,3450,2.0,166,796,1.53,630.77,1,0,0,1,0,Eficientes,0.5247971285612374,1
MAN-0084,MQ-111,Lima,Inyectora,Tarde,71.4,3.73,7.86,7021,4.2,134,957,2.96,582.78,0,1,2,2,2,Estándar,0.5257745511504114,1
MAN-0085,MQ-095,Trujillo,Torno CNC,Noche,71.4,7.48,7.3,3038,3.3,6,909,5.17,713.0,0,2,4,1,3,Críticas,0.45579026728754923,0
MAN-0086,MQ-176,Trujillo,Compresor,Mañana,69.4,5.15,5.47,9858,5.1,116,740,1.89,694.25,1,2,0,0,1,Alerta,0.32918161201073876,0
MAN-0087,MQ-164,Trujillo,Inyectora,Mañana,68.3,5.65,5.62,4267,3.7,89,751,3.19,631.83,0,2,2,0,0,Eficientes,0.30032358433453743,0
MAN-0088,MQ-011,Arequipa,Empacadora,Mañana,70.9,3.05,5.79,8070,6.2,222,864,3.25,705.89,0,0,1,0,2,Estándar,0.5002271221543773,1
MAN-0089,MQ-117,Trujillo,Compresor,Noche,84.7,4.33,5.57,10385,4.7,58,964,0.47,536.41,0,2,0,1,1,Alerta,0.3994057552530437,0
MAN-0090,MQ-107,Lima,Prensa,Noche,78.6,2.15,8.7,7431,3.8,179,853,4.01,353.57,0,1,3,1,0,Eficientes,0.5610930001824225,1
MAN-0091,MQ-029,Lima,Torno CNC,Mañana,66.2,3.32,7.21,2399,3.9,191,1229,3.36,506.55,0,1,4,0,0,Eficientes,0.3898564804823049,0
MAN-0092,MQ-057,Arequipa,Inyectora,Tarde,65.9,4.92,5.67,3242,0.2,223,848,1.82,547.43,1,0,2,2,0,Eficientes,0.5856190615324957,1
MAN-0093,MQ-071,Arequipa,Inyectora,Noche,93.5,2.21,7.02,8109,4.7,212,807,1.08,352.08,1,0,2,1,2,Estándar,0.805798290725865,1
MAN-0094,MQ-126,Lima,Prensa,Noche,80.5,2.34,9.21,4064,5.9,163,1169,2.68,453.2,1,1,3,1,0,Eficientes,0.6968652487803454,1
MAN-0095,MQ-139,Trujillo,Prensa,Tarde,52.0,4.19,8.83,4543,5.1,61,719,5.36,592.68,1,2,3,2,0,Eficientes,0.1910615074367484,0
MAN-0096,MQ-019,Trujillo,Empacadora,Mañana,73.7,6.7,7.52,11546,7.2,158,864,2.44,484.58,1,2,1,0,1,Alerta,0.7982653576415734,1
MAN-0097,MQ-026,Lima,Prensa,Tarde,75.1,5.27,5.43,7863,7.9,150,732,3.45,729.1,1,1,3,2,1,Alerta,0.7369802249803916,1
MAN-0098,MQ-078,Arequipa,Inyectora,Tarde,78.6,2.02,6.01,11686,7.8,82,937,2.32,809.19,0,0,2,2,1,Alerta,0.29448755082905975,0
MAN-0099,MQ-008,Lima,Torno CNC,Noche,59.9,3.44,8.27,1853,0.2,70,922,2.9,364.64,0,1,4,1,0,Eficientes,0.10726553682186489,0
MAN-0100,MQ-088,Trujillo,Torno CNC,Tarde,65.0,4.64,6.23,9815,7.8,2,821,1.32,566.69,1,2,4,2,1,Alerta,0.16579847720331273,0
MAN-0101,MQ-098,Trujillo,Torno CNC,Mañana,68.4,3.51,6.93,3360,1.8,140,1065,3.03,514.21,1,2,4,0,0,Eficientes,0.22832253033565464,0
MAN-0102,MQ-028,Trujillo,Prensa,Mañana,74.2,4.36,7.02,11632,7.4,115,915,2.22,764.86,0,2,3,0,1,Alerta,0.4203076387029931,0
MAN-0103,MQ-123,Lima,Inyectora,Noche,87.9,2.32,5.91,9450,6.1,150,823,2.56,670.98,0,1,2,1,1,Alerta,0.5539337932778536,1
MAN-0104,MQ-035,Lima,Empacadora,Noche,55.4,0.5,7.2,3248,2.6,164,777,1.83,280.16,0,1,1,1,0,Eficientes,0.07844537944151565,0
MAN-0105,MQ-018,Arequipa,Torno CNC,Mañana,84.1,7.45,8.12,7209,3.0,128,881,2.89,609.83,1,0,4,0,3,Críticas,0.850165300295493,1
MAN-0106,MQ-016,Arequipa,Prensa,Mañana,59.1,3.52,6.82,1418,1.2,118,741,2.29,254.3,0,0,3,0,0,Eficientes,0.12139025851635382,0
MAN-0107,MQ-035,Trujillo,Compresor,Mañana,71.7,6.92,8.27,8229,9.0,21,893,3.38,654.27,1,2,0,0,1,Alerta,0.6152991221257721,1
MAN-0108,MQ-180,Trujillo,Prensa,Noche,77.3,6.16,6.6,5270,0.7,127,1088,2.53,525.36,0,2,3,1,0,Eficientes,0.6008856113537998,1
MAN-0109,MQ-035,Lima,Inyectora,Tarde,88.2,5.77,6.96,220,1.6,209,712,3.49,516.13,0,1,2,2,3,Críticas,0.9411550320520528,1
MAN-0110,MQ-102,Arequipa,Compresor,Tarde,76.1,7.39,7.86,10130,9.6,109,847,1.7,514.08,0,0,0,2,1,Alerta,0.921354201040083,1
MAN-0111,MQ-077,Lima,Torno CNC,Mañana,76.2,5.33,6.1,11600,4.5,238,798,3.52,724.75,0,1,4,0,2,Estándar,0.7246636677392082,1
MAN-0112,MQ-010,Lima,Torno CNC,Mañana,72.0,3.26,4.89,2071,1.8,33,875,1.46,610.31,0,1,4,0,0,Eficientes,0.06457811202198085,0
MAN-0113,MQ-110,Lima,Empacadora,Tarde,74.7,4.44,7.1,1105,2.3,135,1026,2.5,439.19,0,1,1,2,0,Eficientes,0.6408424790496718,1
MAN-0114,MQ-151,Trujillo,Inyectora,Noche,84.2,7.87,7.8,7705,7.3,196,871,3.45,723.07,1,2,2,1,1,Alerta,0.9712006474117211,1
MAN-0115,MQ-116,Trujillo,Torno CNC,Noche,83.8,1.96,5.29,9271,7.4,193,862,2.65,643.72,0,2,4,1,2,Estándar,0.5358665398120348,1
MAN-0116,MQ-143,Arequipa,Torno CNC,Mañana,68.8,0.5,7.07,9735,5.5,104,1014,5.57,491.16,0,0,4,0,2,Estándar,0.07263561886553328,0
MAN-0117,MQ-134,Lima,Prensa,Tarde,65.5,7.46,5.81,11519,7.6,29,847,2.12,608.69,0,1,3,2,1,Alerta,0.45341490393728184,0
MAN-0118,MQ-030,Lima,Empacadora,Mañana,75.5,7.28,7.19,2365,2.2,182,860,3.86,549.33,0,1,1,0,3,Críticas,0.8522865123648656,1
MAN-0119,MQ-061,Arequipa,Inyectora,Mañana,73.7,2.5,5.25,4620,4.7,215,1137,2.25,476.07,0,0,2,0,2,Estándar,0.41876719321783323,0
MAN-0120,MQ-179,Arequipa,Empacadora,Tarde,65.8,3.9,4.76,1359,2.8,154,754,2.01,738.24,0,0,1,2,3,Críticas,0.36074228583468265,0
MAN-0121,MQ-119,Trujillo,Torno CNC,Noche,76.9,2.03,5.73,9839,8.1,190,942,1.57,574.54,0,2,4,1,2,Estándar,0.4547048547502063,0
MAN-0122,MQ-163,Arequipa,Torno CNC,Mañana,76.3,5.15,5.75,9108,5.1,8,1009,1.09,610.71,0,0,4,0,2,Estándar,0.18095313433894702,0
MAN-0123,MQ-080,Arequipa,Empacadora,Mañana,77.0,3.92,6.59,3476,5.8,189,666,1.72,651.44,1,0,1,0,2,Estándar,0.6863412004671379,1
MAN-0124,MQ-177,Arequipa,Compresor,Mañana,75.4,6.93,4.14,8761,5.3,133,1314,4.91,590.01,1,0,0,0,1,Alerta,0.6347876998101867,1
MAN-0125,MQ-101,Arequipa,Empacadora,Tarde,60.9,2.3,6.31,3887,3.6,14,745,4.7,588.83,0,0,1,2,0,Eficientes,0.06076541937112128,0
MAN-0126,MQ-125,Arequipa,Torno CNC,Mañana,75.1,3.87,6.16,10506,7.6,172,786,1.98,436.74,0,0,4,0,2,Estándar,0.5190370204283337,1
MAN-0127,MQ-149,Trujillo,Inyectora,Mañana,67.2,7.87,8.12,11794,9.3,138,557,1.42,512.08,1,2,2,0,1,Alerta,0.8230571693762153,1
MAN-0128,MQ-076,Lima,Torno CNC,Tarde,76.5,4.95,7.2,700,0.6,239,683,2.3,630.08,0,1,4,2,3,Críticas,0.8409674778715187,1
MAN-0129,MQ-139,Trujillo,Compresor,Noche,70.6,4.21,8.27,7124,4.4,43,880,3.59,381.82,0,2,0,1,0,Eficientes,0.31241009022350497,0
MAN-0130,MQ-162,Lima,Inyectora,Noche,89.9,3.99,4.26,8774,6.3,81,943,3.29,772.3,0,1,2,1,1,Alerta,0.4965539070924987,0
MAN-0131,MQ-121,Lima,Empacadora,Mañana,64.4,3.43,7.71,7275,8.7,235,922,0.41,500.75,0,1,1,0,2,Estándar,0.653933322799619,1
MAN-0132,MQ-124,Trujillo,Empacadora,Tarde,74.0,6.53,4.79,6999,1.6,196,709,3.44,665.25,0,2,1,2,3,Críticas,0.7539833019322812,1
MAN-0133,MQ-006,Arequipa,Inyectora,Noche,92.5,4.3,4.33,11726,10.4,102,780,1.27,623.75,1,0,2,1,1,Alerta,0.7280539103983793,1
MAN-0134,MQ-011,Lima,Empacadora,Tarde,62.3,5.67,8.69,4597,3.4,113,616,1.84,547.03,0,1,1,2,0,Eficientes,0.5787499565437287,1
MAN-0135,MQ-128,Arequipa,Compresor,Noche,88.8,7.41,7.87,1355,3.5,161,914,5.21,623.58,1,0,0,1,3,Críticas,0.964173179003482,1
MAN-0136,MQ-113,Trujillo,Inyectora,Tarde,67.6,1.57,6.98,2864,0.5,16,1129,2.39,479.6,0,2,2,2,0,Eficientes,0.05076082475944345,0
MAN-0137,MQ-179,Lima,Prensa,Noche,61.0,2.09,5.14,11261,7.9,174,997,3.3,556.35,0,1,3,1,2,Estándar,0.1731313742850786,0
MAN-0138,MQ-023,Arequipa,Inyectora,Tarde,63.8,0.99,7.14,667,0.2,65,816,2.02,626.05,0,0,2,2,0,Eficientes,0.05955544325641041,0
MAN-0139,MQ-046,Arequipa,Empacadora,Mañana,78.8,1.8,6.77,11975,8.5,158,682,2.9,719.51,1,0,1,0,2,Estándar,0.41538334092821017,0
MAN-0140,MQ-123,Lima,Compresor,Tarde,55.9,1.66,4.21,11391,7.8,41,1072,3.8,482.32,0,1,0,2,2,Estándar,0.03481714514613197,0
MAN-0141,MQ-147,Trujillo,Inyectora,Noche,79.9,8.58,8.29,6548,2.4,10,753,3.84,730.2,1,2,2,1,3,Críticas,0.7240196253905015,1
MAN-0142,MQ-055,Trujillo,Empacadora,Mañana,90.7,3.11,5.5,6133,4.5,69,832,4.56,490.2,0,2,1,0,1,Alerta,0.37956915411866343,0
MAN-0143,MQ-090,Arequipa,Empacadora,Mañana,68.8,4.44,4.76,10037,6.9,119,1135,1.86,491.73,0,0,1,0,2,Estándar,0.2830684773574471,0
MAN-0144,MQ-108,Arequipa,Compresor,Mañana,56.7,8.05,7.94,5281,2.5,52,1006,4.62,269.17,0,0,0,0,0,Eficientes,0.3859609757274111,0
MAN-0145,MQ-088,Arequipa,Torno CNC,Tarde,66.3,4.62,6.45,9792,5.2,186,626,4.05,510.8,1,0,4,2,2,Estándar,0.574428014640523,1
MAN-0146,MQ-077,Arequipa,Torno CNC,Tarde,66.3,7.74,6.19,2837,5.9,236,855,4.42,609.84,1,0,4,2,3,Críticas,0.9289865070415808,1
MAN-0147,MQ-032,Trujillo,Inyectora,Noche,81.9,5.16,8.82,2379,0.4,115,738,3.41,552.96,0,2,2,1,0,Eficientes,0.7047425726277846,1
MAN-0148,MQ-102,Trujillo,Prensa,Tarde,52.7,3.6,4.33,3725,3.5,214,709,3.5,578.95,0,2,3,2,0,Eficientes,0.2274903839096907,0
MAN-0149,MQ-037,Lima,Empacadora,Tarde,66.3,5.0,4.45,8852,6.4,199,686,3.18,799.98,1,1,1,2,1,Alerta,0.6134153736906924,1
MAN-0150,MQ-050,Trujillo,Empacadora,Mañana,71.9,6.79,5.77,846,0.2,210,913,2.35,560.25,1,2,1,0,3,Críticas,0.7328286491657083,1
MAN-0151,MQ-066,Trujillo,Compresor,Noche,94.0,4.6,5.65,2644,1.9,180,586,5.09,765.86,0,2,0,1,3,Críticas,0.8553756269418399,1
MAN-0152,MQ-050,Lima,Prensa,Tarde,82.7,5.74,6.89,3133,2.7,4,653,3.79,396.5,0,1,3,2,0,Eficientes,0.514076949713975,1
MAN-0153,MQ-027,Lima,Empacadora,Noche,69.8,4.67,8.42,10409,6.9,201,882,3.76,671.2,0,1,1,1,1,Alerta,0.7770377831738917,1
MAN-0154,MQ-014,Trujillo,Prensa,Tarde,64.5,4.54,8.66,10728,4.2,141,616,3.3,477.35,0,2,3,2,2,Estándar,0.49205445167551204,0
MAN-0155,MQ-004,Lima,Torno CNC,Mañana,70.0,3.89,8.76,7457,4.5,39,984,1.38,631.63,0,1,4,0,2,Estándar,0.18667205204242837,0
MAN-0156,MQ-141,Lima,Empacadora,Tarde,69.4,7.77,6.22,11387,9.1,237,771,3.68,455.36,0,1,1,2,2,Estándar,0.9523832316925557,1
MAN-0157,MQ-049,Arequipa,Torno CNC,Tarde,84.4,4.42,7.46,539,0.2,236,796,5.67,628.42,1,0,4,2,3,Críticas,0.8868473571082872,1
MAN-0158,MQ-050,Arequipa,Empacadora,Mañana,76.8,5.25,6.68,10281,4.9,117,1016,2.83,735.94,0,0,1,0,1,Alerta,0.5258051100485247,1
