id_maquina,tipo_maquina,planta,turno,probabilidad_falla,cluster,cluster_nombre,temperatura_c,vibracion_mm_s,presion_bar,dias_desde_mantenimiento,antiguedad_anios,tasa_defectos_pct,horas_operacion,falla_maquina
MQ-120,Inyectora,Trujillo,Tarde,0.787345089575151,1,Alerta,76.3,7.51,6.47,68,7.9,2.07,10474,1
MQ-094,Prensa,Lima,Tarde,0.7861470700454996,3,Críticas,79.1,6.65,8.25,63,4.5,2.73,4487,0
MQ-028,Empacadora,Lima,Noche,0.7857048003460188,3,Críticas,88.0,3.04,8.37,179,1.5,2.57,472,1
MQ-039,Prensa,Arequipa,Mañana,0.7844249376868658,2,Estándar,81.5,3.76,6.67,229,6.5,0.82,7060,1
MQ-139,Torno CNC,Arequipa,Mañana,0.782851467248742,3,Críticas,91.6,4.15,7.64,166,3.2,5.96,6338,1
MQ-028,Empacadora,Trujillo,Noche,0.7820917631103428,1,Alerta,100.2,5.19,6.54,48,6.4,1.85,11480,1
MQ-038,Empacadora,Lima,Mañana,0.7813570424099602,3,Críticas,81.4,5.46,6.14,199,1.9,4.99,3396,1
MQ-029,Empacadora,Trujillo,Mañana,0.7807874847113118,1,Alerta,63.2,7.52,6.46,201,7.6,3.58,11971,1
MQ-149,Torno CNC,Lima,Tarde,0.7804213450009736,2,Estándar,70.3,5.01,6.79,210,5.7,1.69,6427,1
MQ-029,Empacadora,Arequipa,Noche,0.7803916945307428,1,Alerta,85.3,5.57,6.13,100,7.8,4.27,9526,1
MQ-175,Empacadora,Arequipa,Noche,0.780245297335742,2,Estándar,82.5,3.54,7.17,181,7.1,2.85,9358,1
MQ-027,Empacadora,Lima,Noche,0.7770377831738917,1,Alerta,69.8,4.67,8.42,201,6.9,3.76,10409,0
MQ-019,Empacadora,Lima,Mañana,0.7769076365971676,2,Estándar,78.9,6.37,8.03,91,9.2,0.1,11792,0
MQ-148,Empacadora,Trujillo,Mañana,0.7759924945854455,1,Alerta,88.4,4.73,6.29,173,5.5,4.95,11434,1
MQ-021,Compresor,Lima,Tarde,0.7744142276968471,1,Alerta,79.2,6.08,6.6,90,6.2,3.4,8190,0
MQ-166,Empacadora,Trujillo,Noche,0.7734547887296427,1,Alerta,86.1,8.13,5.63,52,3.2,4.22,6915,1
MQ-135,Prensa,Arequipa,Mañana,0.772837753902893,2,Estándar,73.3,5.13,6.61,218,7.6,2.92,9641,1
MQ-118,Compresor,Trujillo,Noche,0.7721266606078292,3,Críticas,84.2,6.79,5.7,108,1.3,2.58,1105,1
MQ-176,Inyectora,Lima,Tarde,0.7720329303273402,2,Estándar,73.7,4.64,6.86,177,6.5,3.64,7206,1
MQ-060,Prensa,Arequipa,Mañana,0.7694947447046936,2,Estándar,64.8,7.63,5.61,215,4.4,4.59,6039,0
MQ-004,Empacadora,Arequipa,Noche,0.767909335266621,2,Estándar,65.1,6.22,5.2,212,7.2,0.41,6497,1
MQ-142,Torno CNC,Lima,Mañana,0.7666072913577154,3,Críticas,84.9,7.34,6.47,78,4.0,2.44,2084,1
MQ-131,Inyectora,Trujillo,Mañana,0.7659417034263583,1,Alerta,75.2,6.18,7.7,141,7.0,3.91,8523,1
MQ-060,Empacadora,Trujillo,Tarde,0.7646116131930683,0,Eficientes,70.5,5.52,6.22,226,0.2,1.88,1453,1
MQ-012,Inyectora,Trujillo,Tarde,0.7645557401182665,3,Críticas,83.6,5.59,4.95,169,2.1,3.09,5855,1
MQ-036,Inyectora,Trujillo,Tarde,0.7633840889309744,2,Estándar,60.4,5.11,8.46,235,4.2,4.5,6963,1
MQ-015,Torno CNC,Arequipa,Noche,0.7630549916799667,3,Críticas,87.4,4.34,6.16,185,0.9,4.48,511,0
MQ-094,Torno CNC,Trujillo,Tarde,0.7593850744328504,1,Alerta,65.2,5.98,6.32,174,8.6,4.02,7726,1
MQ-129,Empacadora,Arequipa,Noche,0.7587566428417621,2,Estándar,62.9,6.33,7.51,187,6.4,2.6,8612,0
MQ-054,Compresor,Lima,Mañana,0.7559861006474755,3,Críticas,81.5,6.49,7.58,86,4.3,2.68,3525,1
MQ-022,Torno CNC,Arequipa,Noche,0.7548962750704246,3,Críticas,85.1,3.12,7.56,226,0.2,3.1,576,1
MQ-122,Compresor,Lima,Tarde,0.7548341253032764,0,Eficientes,68.5,7.62,8.0,86,1.9,1.3,1762,1
MQ-124,Inyectora,Trujillo,Tarde,0.7540067243329549,0,Eficientes,72.5,4.12,8.3,178,5.0,1.9,4634,0
MQ-124,Empacadora,Trujillo,Tarde,0.7539833019322812,3,Críticas,74.0,6.53,4.79,196,1.6,3.44,6999,0
MQ-077,Empacadora,Trujillo,Noche,0.7538191405759751,3,Críticas,84.2,3.13,8.79,177,1.9,2.13,1376,0
MQ-175,Compresor,Arequipa,Tarde,0.7521371995652743,0,Eficientes,79.5,4.47,6.82,133,4.7,0.17,3258,1
MQ-138,Empacadora,Trujillo,Tarde,0.7511812090520498,0,Eficientes,71.1,3.74,7.86,201,3.7,3.13,1367,0
MQ-030,Empacadora,Lima,Noche,0.7510398044366972,3,Críticas,80.9,4.37,6.66,181,4.3,4.62,7111,1
MQ-018,Torno CNC,Trujillo,Mañana,0.7485418809803859,3,Críticas,75.5,4.26,8.4,219,4.5,3.94,5439,0
MQ-133,Torno CNC,Trujillo,Noche,0.7482635423689515,1,Alerta,87.8,5.46,4.83,128,6.2,6.26,7525,0
MQ-079,Inyectora,Arequipa,Noche,0.7452326680555986,2,Estándar,66.7,5.11,5.52,226,7.0,3.08,5059,0
MQ-081,Empacadora,Arequipa,Mañana,0.7450172076850387,2,Estándar,72.4,5.38,7.17,208,3.9,2.95,6132,0
MQ-120,Empacadora,Lima,Noche,0.7437117726340866,1,Alerta,85.2,7.1,6.85,7,7.8,3.98,9029,1
MQ-078,Prensa,Arequipa,Mañana,0.7434901876954066,2,Estándar,78.9,5.27,5.95,197,6.4,1.1,9892,0
MQ-163,Torno CNC,Arequipa,Mañana,0.7434742321396433,1,Alerta,91.5,3.26,7.98,174,5.3,4.0,11073,1
MQ-096,Compresor,Trujillo,Noche,0.7428058172810746,0,Eficientes,83.0,3.81,6.98,200,1.5,4.18,4655,1
MQ-061,Inyectora,Trujillo,Noche,0.742359881726346,0,Eficientes,71.2,3.56,7.43,236,5.4,3.2,4106,1
MQ-062,Torno CNC,Lima,Tarde,0.7418530164363352,3,Críticas,80.7,5.04,6.24,160,3.8,3.17,6632,0
MQ-168,Prensa,Arequipa,Tarde,0.7417672875387047,3,Críticas,87.9,5.82,5.7,93,0.9,4.3,728,1
MQ-026,Prensa,Lima,Tarde,0.7369802249803916,1,Alerta,75.1,5.27,5.43,150,7.9,3.45,7863,1
MQ-116,Empacadora,Arequipa,Tarde,0.7367831106983014,3,Críticas,87.3,4.13,5.62,143,2.7,4.59,4096,0
MQ-169,Compresor,Lima,Tarde,0.734718349825428,0,Eficientes,70.6,7.34,6.58,92,3.7,0.56,3809,1
MQ-050,Empacadora,Trujillo,Mañana,0.7328286491657083,3,Críticas,71.9,6.79,5.77,210,0.2,2.35,846,1
MQ-159,Inyectora,Arequipa,Noche,0.732044999250219,2,Estándar,69.5,5.0,7.53,199,5.7,0.85,7815,0
MQ-011,Torno CNC,Trujillo,Tarde,0.7318875546548325,1,Alerta,79.2,6.28,6.56,119,4.6,2.27,10277,0
MQ-154,Inyectora,Trujillo,Mañana,0.7285620667685413,3,Críticas,77.2,4.33,7.52,220,1.3,4.81,609,1
MQ-128,Prensa,Arequipa,Noche,0.728508810872183,1,Alerta,90.1,4.1,5.81,124,7.1,5.51,9172,1
MQ-006,Inyectora,Arequipa,Noche,0.7280539103983793,1,Alerta,92.5,4.3,4.33,102,10.4,1.27,11726,1
